"Composite.Variable","Year","Herbicide.Treatment","Site","Patch","BFLY.Common.Name","Number"
"2014-Spr","2014","Spr","GIL","GIL-N","gray copper",1
"2014-SnS","2014","SnS","GIL","GIL-C","great spangled fritillary",1
"2014-Spr","2014","Spr","GIL","GIL-N","great spangled fritillary",1
"2014-Con","2014","Con","GIL","GIL-S","great spangled fritillary",3
"2015-Con","2015","Con","GIL","GIL-S","great spangled fritillary",2
"2017-Con","2017","Con","GIL","GIL-S","great spangled fritillary",3
"2014-Spr","2014","Spr","LTR","LTR-C","great spangled fritillary",1
"2015-Spr","2015","Spr","LTR","LTR-C","great spangled fritillary",4
"2017-Spr","2017","Spr","LTR","LTR-C","great spangled fritillary",1
"2015-SnS","2015","SnS","LTR","LTR-E","great spangled fritillary",1
"2017-SnS","2017","SnS","LTR","LTR-E","great spangled fritillary",2
"2015-Con","2015","Con","LTR","LTR-W","great spangled fritillary",2
"2014-Spr","2014","Spr","PYW","PYW-C","great spangled fritillary",1
"2015-Spr","2015","Spr","PYW","PYW-C","great spangled fritillary",2
"2016-Spr","2016","Spr","PYW","PYW-C","great spangled fritillary",1
"2017-Spr","2017","Spr","PYW","PYW-C","great spangled fritillary",3
"2014-SnS","2014","SnS","PYW","PYW-N","great spangled fritillary",1
"2015-SnS","2015","SnS","PYW","PYW-N","great spangled fritillary",1
"2016-SnS","2016","SnS","PYW","PYW-N","great spangled fritillary",1
"2014-Con","2014","Con","PYW","PYW-S","great spangled fritillary",1
"2015-Con","2015","Con","PYW","PYW-S","great spangled fritillary",11
"2016-Con","2016","Con","PYW","PYW-S","great spangled fritillary",2
"2017-Con","2017","Con","PYW","PYW-S","great spangled fritillary",1
"2016-SnS","2016","SnS","LTR","LTR-E","indigo duskywing",1
"2016-Con","2016","Con","PYW","PYW-S","indigo duskywing",1
"2017-Spr","2017","Spr","GIL","GIL-N","least skipper",1
"2016-SnS","2016","SnS","LTR","LTR-E","least skipper",1
"2014-Spr","2014","Spr","GIL","GIL-N","little wood satyr",1
"2014-Con","2014","Con","GIL","GIL-S","little wood satyr",2
"2014-SnS","2014","SnS","LTR","LTR-E","little yellow",1
"2014-Spr","2014","Spr","PYW","PYW-C","little yellow",2
"2014-SnS","2014","SnS","PYW","PYW-N","little yellow",1
"2014-Con","2014","Con","PYW","PYW-S","little yellow",1
"2016-SnS","2016","SnS","GIL","GIL-C","meadow fritillary",1
"2017-SnS","2017","SnS","GIL","GIL-C","meadow fritillary",1
"2017-Spr","2017","Spr","GIL","GIL-N","meadow fritillary",5
"2014-Con","2014","Con","GIL","GIL-S","meadow fritillary",3
"2016-Con","2016","Con","GIL","GIL-S","meadow fritillary",7
"2017-Con","2017","Con","GIL","GIL-S","meadow fritillary",1
"2016-Spr","2016","Spr","LTR","LTR-C","meadow fritillary",9
"2016-SnS","2016","SnS","LTR","LTR-E","meadow fritillary",9
"2017-SnS","2017","SnS","LTR","LTR-E","meadow fritillary",2
"2016-Con","2016","Con","LTR","LTR-W","meadow fritillary",1
"2015-Spr","2015","Spr","PYW","PYW-C","meadow fritillary",1
"2016-Spr","2016","Spr","PYW","PYW-C","meadow fritillary",3
"2017-Spr","2017","Spr","PYW","PYW-C","meadow fritillary",11
"2014-SnS","2014","SnS","PYW","PYW-N","meadow fritillary",3
"2015-SnS","2015","SnS","PYW","PYW-N","meadow fritillary",1
"2016-SnS","2016","SnS","PYW","PYW-N","meadow fritillary",5
"2017-SnS","2017","SnS","PYW","PYW-N","meadow fritillary",7
